Row ID,Year,Department Title,Payroll Department,Record Number,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Q1 Payments,Q2 Payments,Q3 Payments,,,,,,
91867,2014,Public Works - Sanitation,7024,1558232182,Management Assistant,Full Time,$30.48 ,"$63,642.24 ","$14,922.38 ","$17,438.71 ","$15,231.32 ",,,,,,
62845,2014,City Attorney,1203,3684393918,Deputy City Attorney II,Full Time,$61.17 ,"$127,722.96 ","$28,372.80 ","$39,376.60 ","$29,361.60 ",,,,,,
80790,2014,Police (LAPD),4301,3324225193,Police Officer II,Full Time,$44.04 ,"$91,955.52 ","$25,061.16 ","$26,908.44 ","$24,784.58 ",,,,,,
112402,2014,Water And Power (DWP),,1251237349,Clerk Typist,Full Time,,"$57,795.84 ","$13,947.05 ","$14,933.20 ","$15,037.05 ",,,,,,
85562,2014,Police (LAPD),4302,3455237834,Principal Clerk Police II,Full Time,$37.82 ,"$78,968.16 ","$19,009.47 ","$22,143.04 ","$19,159.81 ",,,,,,
48305,2013,Water And Power (DWP),,3882495239,Warehouse & Toolroom Worker,Full Time,,"$71,451.36 ","$34,979.32 ","$38,994.40 ","$33,673.32 ",,,,,,
113277,2014,Water And Power (DWP),,3360129850,Student Engineer,Part Time,,"$40,548.96 ",$0.00 ,"$2,963.49 ","$10,545.06 ",,,,,,
114368,2015,Aging,0302,4189935327,Program Aide - Aging,Part Time,$16.80 ,"$35,078.40 ",$0.00 ,"$3,363.36 ","$4,586.40 ",,,,,,
114369,2015,Aging,0302,1496565539,Program Aide - Aging,Part Time,$16.80 ,"$35,078.40 ",$0.00 ,"$3,158.40 ","$4,233.60 ",,,,,,
114370,2015,Aging,0302,1597748518,Administrative Clerk,Part Time,$18.61 ,"$38,857.68 ",$0.00 ,"$1,339.92 ","$5,061.92 ",,,,,,
114372,2015,Aging,0302,1524666763,Administrative Clerk,Part Time,$18.61 ,"$38,857.68 ","$6,358.15 ","$1,481.25 ",$0.00 ,,,,,,
114373,2015,Aging,0302,3753994066,Program Aide - Aging,Part Time,$16.80 ,"$35,078.40 ",$0.00 ,"$3,360.00 ","$3,645.60 ",,,,,,
